,quarterly,annual,qfactor,toend20
Jun-10,0.8,3,1.008,1.296
Sep-10,1.1,3.6,1.011,1.282
Dec-10,1,3.9,1.01,1.269
Mar-11,0.9,3.9,1.009,1.258
Jun-11,0.7,3.8,1.007,1.249
Sep-11,0.8,3.6,1.008,1.239
Dec-11,1,3.6,1.01,1.227
Mar-12,1,3.6,1.01,1.215
Jun-12,0.9,3.8,1.009,1.204
Sep-12,0.8,3.8,1.008,1.194
Dec-12,0.7,3.4,1.007,1.186
Mar-13,0.7,3.1,1.007,1.178
Jun-13,0.6,2.8,1.006,1.171
Sep-13,0.6,2.6,1.006,1.164
Dec-13,0.7,2.6,1.007,1.156
Mar-14,0.8,2.7,1.008,1.146
Jun-14,0.5,2.6,1.005,1.141
Sep-14,0.6,2.6,1.006,1.134
Dec-14,0.6,2.5,1.006,1.127
Mar-15,0.6,2.3,1.006,1.120
Jun-15,0.5,2.3,1.005,1.115
Sep-15,0.6,2.3,1.006,1.108
Dec-15,0.5,2.2,1.005,1.103
Mar-16,0.5,2.1,1.005,1.097
Jun-16,0.5,2.1,1.005,1.092
Sep-16,0.4,1.9,1.004,1.087
Dec-16,0.5,1.9,1.005,1.082
Mar-17,0.6,1.9,1.006,1.076
Jun-17,0.5,1.9,1.005,1.070
Sep-17,0.5,2,1.005,1.065
Dec-17,0.6,2.1,1.006,1.058
Mar-18,0.5,2,1.005,1.053
Jun-18,0.6,2.1,1.006,1.047
Sep-18,0.6,2.3,1.006,1.041
Dec-18,0.6,2.4,1.006,1.034
Mar-19,0.5,2.3,1.005,1.029
Jun-19,0.6,2.3,1.006,1.023
Sep-19,0.5,2.2,1.005,1.018
Dec-19,0.5,2.1,1.005,1.013
Mar-20,0.5,2.2,1.005,1.008
Jun-20,0.2,1.8,1.002,1.006
Sep-20,0.1,1.4,1.001,1.005
Dec-20,0.5,1.4,1.005,1.000
Mar-21,0.5,1.4,1.005,
Jun-21,0.6,1.8,1.006,
Sep-21,0.5,2.2,1.005,
Dec-21,0.7,2.3,1.007,
Mar-22,0.6,2.4,1.006,
Jun-22,0.9,2.6,1.009,
Sep-22,1.1,3.2,1.011,
Dec-22,0.8,3.4,1.008,
Mar-23,0.8,3.7,1.008,
Jun-23,0.8,3.6,1.008,
,,,,
"Source: Australian Bureau of Statistics, Wage Price Index, Australia June 2023",,,,
